Date,Text,Label 1,Label 2,Label 3,Label Final
7/20/2019,Bagaimana ini gk ada pemberitahuan kpn selesainya maintenace kita mau tarik dana gk bsa sama sekali tolanglah ksih keputusan yg jelas,-1,-1,-1,-1
7/20/2019,HOREEE. awal saldo nol. Setelah cek 175jt. gue tarik semua. lumayan...,0,0,1,0
7/20/2019,Bankerot nih namanya,-1,-1,-1,-1
7/20/2019,Alhandulillah . . . .Rek Mandiri saya amaannn . . . . masih seperti yg kemarin2ðŸ˜Ž,1,1,1,1
7/20/2019,"mohon infonya kapan mandiri bisa normal lagi urusan saya jadi banyak terkendala atas kejadian ini,mau cek saldo sampai tarik tunai tidak bisa. tolong di perbaiki dan di infokan segera. terimakasih.",0,-1,0,0
7/20/2019,"saldo saya bertambah Rp. 21.500.000 gimana nih, saya gak mau.!!! mohon segera diperbaiki,soalnya saldo saya cuma Rp.301.000 tapi halal..ðŸ˜Š",-1,-1,0,-1
7/20/2019,Cek saldo mandiri kok gak bisa-bisa mulu. Baru inget kalau enggak punya rekening di bank mandiri ðŸ˜Š,0,0,0,0
7/20/2019,ðŸ˜Œ15 juta hilang uang nikah q parah bgt tolong dong segera di perbaikin,-1,-1,-1,-1
7/20/2019,Ane gan. Saldo ilang abis smua. Hadeuhhhh. Mohon pencerahan. Terima kasih,-1,-1,-1,-1
7/20/2019,sabtu adalah saatnya bagi kami menggaji karyawan..sementara dana ada di rek mandiri...kalau sampai sore ga bisa tarik dana siapa yg tanggung jawab ?? bagaimana nasib gaji karyawan kami yg seharusnya mereka terima setiap hari sabtu? mikir keras!!!,-1,-1,-1,-1
7/20/2019,"Bank BUMN yg selalu gagal sistem,,harusnya malu,,masa kalah sama bank swasta..",-1,-1,-1,-1
7/20/2019,bila bank Mandiri tidak mampu normalisasi saldo masyaralat nasabah berhak nuntut.,-1,-1,-1,-1
7/20/2019,yg saldonya kosong berdoa saldonya nambahðŸ˜€,0,0,0,0
7/20/2019,belum chek saldoku mudahN bertambahðŸ˜ðŸ˜ðŸ˜,0,0,0,0
7/20/2019,"waduh gimana ini saya belum check rek mandiri saya, buahayuaya wuinih ...... hmm",0,-1,-1,-1
7/20/2019,saya mau cek saldo tp gak bisa. karena saya gak ada rekening mandiri. adanya rekening bca.. ðŸ˜,0,0,0,0
7/20/2019,semoga punya saya nambah....ðŸ˜‰ðŸ˜‰,0,0,1,0
7/20/2019,sy juga mengalami saldo sy berkurang.. mudah cpat terselesaikan,-1,-1,0,-1
7/20/2019,"@bankmandiri gmna ini saldo saya tiba2 hilang 7jta,,mohon penjelasannya ???",-1,-1,-1,-1
7/20/2019,syukur lagi 0 moga di topup rek mandirikuh ðŸ˜†ðŸ˜ boleh di aamiini yaaa aamiin,0,0,1,0
7/20/2019,"â£SDM security IT bidang keuangan, server arsip penting dan data2 penting yg melangkah ke system online benar2 harus orang terpilih utk bs menangkal hackers\/penyusup. Data manual sebagai backup tetap harus ada secanggih apapun struktur software dirancang.",0,0,0,0
7/20/2019,"kenaren malam cek saldo masih 1jta tadi pgi mau transaksi coba cek saldo dlu kok saldo nya berkurang tinggal 300rb padahal blm ngambil, gmna ini mandiri tolong cepat d perbaiki butuh uang nya buat byar tagihan2ðŸ˜­ðŸ˜­ðŸ˜­",-1,-1,-1,-1
7/20/2019,mohon advise nya. saya butuh untuk bayar lahiran lagi force mayor ini,0,0,0,0
7/20/2019,Saldo sya jg berkurang 200rb. Padahal dah sisain 650rb bwt bayar skolah anak hari ini. Tp malah brkurang 200rb. Jd tinggal 450rb.. mandiri gimana ini,-1,-1,-1,-1
7/20/2019,saldoku berkurang hampir 40jt tolong bank mandiri bantu penjelasan saya hub call center susah.....,-1,-1,-1,-1
7/20/2019,Mandiri online langsung ga bisa di akses ðŸ˜”,-1,-1,0,-1
7/20/2019,mandiri online gak bs diakses,-1,-1,0,-1
7/20/2019,Gue punya iLang 26 jt pagi ini...smoga Mandiri dpt mengatasi scepatnya,-1,-1,-1,-1
7/20/2019,Di serang hackerðŸ˜œ,0,-1,0,0
7/20/2019,"Tadi saya cek saldo saya 0 rupiah, dan ternyata saya baru ingat memang segitu dr bulan lalu ðŸ˜‚",0,0,0,0
7/20/2019,"kemarin saya cek masih ada, trus hari ini saya liat lagi eh ternyata pacar saya juga ilang.ðŸ˜¢ tolong bank mandiri segera diatasi, ini mungkin krna gak ada duit gue nya.ðŸ˜¢",0,0,0,0
7/20/2019,gmna nih...saldo saya berkurang 10jt,-1,-1,-1,-1
7/20/2019,saldo bank mandiri saya gk berkurang alhamdulillah :),1,1,1,1
7/20/2019,Kemarin saya melakukan penarikan di ATM BNI HK Tower. saya lihat saldo saya dan saya bandingkan dengan pagi ini berkurang 5juta. saya telp bank mandiri jaringan sibuk.,-1,-1,-1,-1
7/20/2019,saldo nambah 50jt..bsa dtransfer tp blm cba apkh bsa dtarik,0,-1,0,0
